No,시설종류,시설명,CCTV설치여부,CCTV설치대수,보호구역도로폭,보호구역_경도,보호구역_위도,지번주소,행정동
1,특수학교,성심학교,N,0,25,127.0175214,37.1767618,지곶동,세마동
2,초등학교,가수초등학교,Y,1,12,127.0479566,37.1481034,가수동,초평동
3,초등학교,광성초등학교,Y,2,12,127.0397087,37.1841969,세교동,세마동
4,초등학교,대호초등학교,Y,3,12,127.0578885,37.1591063,궐동,남촌동
5,초등학교,매홀초등학교,Y,2,6,127.0632819,37.162749,수청동,신장동
6,초등학교,삼미초등학교,Y,2,6,127.0602693,37.1913557,외삼미동,세마동
7,초등학교,성산초등학교,Y,3,12,127.0670404,37.1504441,오산동,중앙동
8,초등학교,성호초등학교,Y,2,12,127.0709531,37.1504779,오산동,중앙동
9,초등학교,수청초등학교,Y,3,18,127.0554744,37.1708567,수청동,신장동
10,초등학교,오산초등학교,Y,3,6,127.0501654,37.1451578,가수동,초평동
11,초등학교,오산고현초등학교,Y,2,12,127.0851446,37.1334168,고현동,대원동
12,초등학교,오산대원초등학교,Y,2,6,127.0711912,37.1305534,갈곶동,대원동
13,초등학교,오산원당초등학교,Y,2,5,127.0909576,37.1422645,원동,대원동
14,초등학교,오산원일초등학교,Y,2,12,127.0716946,37.1392033,원동,대원동
15,초등학교,운산초등학교,Y,2,12,127.0775339,37.1526399,오산동,중앙동
16,초등학교,운암초등학교,Y,2,6,127.0762159,37.1438536,원동,대원동
17,초등학교,운천초등학교,Y,1,12,127.0797617,37.1559507,부산동,중앙동
18,초등학교,원동초등학교,Y,2,12,127.069748,37.1355282,원동,대원동
19,초등학교,화성초등학교,Y,3,12,127.0691922,37.1647733,수청동,신장동
20,초등학교,금암초등학교,Y,2,6,127.043949,37.1787337,금암동,신장동
21,초등학교,문시초등학교,Y,1,12,127.0452751,37.174282,금암동,신장동
22,초등학교,양산초등학교,Y,2,9,127.0321039,37.1972091,양산동,세마동
23,초등학교,필봉초등학교,Y,1,12,127.0523812,37.1788276,금암동,신장동
24,초등학교,세미초등학교,N,1,15,127.0643862,37.1744822,내삼미동,신장동
25,초등학교,다온초등학교,Y,3,18,127.0908929,37.1519816,부산동,중앙동
26,초등학교,세마초등학교,Y,3,18,127.0275815,37.1696802,지곶동,세마동
27,유치원,노틀담유치원,Y,1,22,127.0559346,37.1535531,청학동,남촌동
28,유치원,대일유치원,Y,1,6,127.0705773,37.1335498,원동,대원동
29,유치원,별새꽃유치원,Y,1,15,127.0722262,37.1305528,갈곶동,대원동
30,유치원,예인유치원,Y,1,6,127.0782193,37.153627,부산동,중앙동
31,유치원,오산유치원,N,0,3,127.0695488,37.1527025,오산동,중앙동
32,유치원,오산대유치원,N,0,6,127.0632067,37.1535674,청학동,남촌동
33,유치원,이화유치원,Y,2,6,127.0625447,37.1643481,수청동,신장동
34,유치원,이림유치원,Y,1,4,127.0857412,37.1355429,고현동,대원동
35,유치원,동화마을유치원,Y,1,6,127.0764159,37.1570389,오산동,중앙동
36,유치원,동탄우리유치원,Y,1,4,127.0602521,37.19699725,외삼미동,세마동
37,유치원,창의나라 유치원,Y,1,6,127.0494621,37.171456,금암동,신장동
38,유치원,물향기 유치원,Y,1,6,127.0548565,37.1758277,내삼미동,신장동
39,유치원,펀키즈 유치원,Y,1,4,127.0346338,37.1879419,세교동,세마동
40,유치원,뿌리 유치원,Y,1,4,127.0256784,37.1960068,양산동,세마동
41,유치원,숲속다원유치원,Y,1,6,127.0377376,37.15169895,서동,초평동
42,유치원,오르다유치원,Y,1,6,127.0795105,37.1439127,원동,대원동
43,유치원,지예뜰유치원,Y,1,6,127.0838707,37.1375698,원동,대원동
44,어린이집,해에게서소년에게어린이집,Y,1,6,127.070583,37.16123725,은계동,중앙동
45,어린이집,예인나라어린이집,Y,1,3,127.057759,37.1976823,외삼미동,세마동
46,어린이집,베스트어린이집,Y,1,3,127.0614234,37.197877,외삼미동,세마동
47,어린이집,시립수청어린이집,Y,2,6,127.054929,37.17415694,내삼미동,신장동
48,어린이집,아람어린이집,Y,1,6,127.058621,37.163757,수청동,신장동
49,어린이집,시립매홀어린이집,Y,1,13,127.0588254,37.172027,수청동,신장동
50,어린이집,로뎀장애아전담 어린이집,Y,1,4,127.069042,37.1577055,궐동,남촌동
51,어린이집,새싹뜰어린이집,Y,1,7,127.073557,37.162625,은계동,중앙동
52,어린이집,시립가온어린이집,Y,1,17,127.0773162,37.158869,오산동,중앙동
53,어린이집,청원어린이집,Y,1,6,127.0723906,37.1537064,오산동,중앙동
54,어린이집,시립나눔이보듬이어린이집,Y,1,15,127.040123,37.1624049,가장동,남촌동
55,어린이집,시립오산어린이집,Y,1,5,127.0711383,37.1471186,원동,대원동
56,어린이집,시립비둘기어린이집,Y,1,6,127.0722111,37.133451,원동,대원동
57,어린이집,지구촌어린이집,Y,1,6,127.072015,37.1607324,은계동,중앙동
58,어린이집,하얀뜰어린이집,Y,1,3,127.0715434,37.1316705,갈곶동,대원동
59,어린이집,키즈청호어린이집,Y,1,3,127.083875,37.1353187,고현동,대원동
60,어린이집,영락어린이집,Y,1,6,127.0683167,37.1577131,궐동,남촌동
61,어린이집,시립예일어린이집,Y,1,6,127.0668153,37.1351622,갈곶동,대원동
62,어린이집,베이비캐슬어린이집,N,0,4,127.0752047,37.162708,은계동,중앙동
63,어린이집,좋은아이어린이집,Y,1,5,127.0609014,37.164621,수청동,신장동
64,어린이집,동부어린이집,N,0,4,127.0753106,37.1631209,은계동,중앙동
65,어린이집,구세군샛별어린이집,Y,1,6,127.073337,37.160625,은계동,중앙동
66,어린이집,둥근해어린이집,N,0,7,127.0565077,37.161239,궐동,남촌동
67,어린이집,나리어린이집,Y,1,17,127.0774067,37.15997401,오산동,중앙동
68,어린이집,경희어린이집,N,0,6,127.051706,37.14560044,가장동,남촌동
69,어린이집,그린어린이집,N,0,4,127.0696108,37.1497758,오산동,중앙동
70,어린이집,대일어린이집,Y,2,5,127.0694738,37.1540109,오산동,중앙동
71,어린이집,리틀램어린이집,N,0,3,127.035169,37.142546,벌음동,초평동
72,어린이집,아이사랑어린이집,Y,1,6,127.073235,37.1339152,원동,대원동
73,어린이집,중앙어린이집,N,0,13,127.0637019,37.1534266,청학동,남촌동
74,어린이집,아이마루어린이집,N,0,6,127.070859,37.131331,갈곶동,대원동
75,어린이집,해오름어린이집,Y,1,6,127.0843344,37.1323452,청호동,대원동
76,어린이집,늘해랑어린이집,Y,1,7,127.056815,37.161017,궐동,남촌동
77,어린이집,자연어린이집,Y,1,6,127.0812905,37.1408118,원동,대원동
78,어린이집,시립남부어린이집,Y,1,12,127.0723256,37.138565,원동,대원동
79,어린이집,지움 어린이집,Y,1,6,127.0529934,37.13983633,누읍동,초평동
80,어린이집,키즈맘 어린이집,N,0,6,127.0528629,37.1395376,누읍동,초평동
81,어린이집,i노리터 어린이집,N,0,6,127.053304,37.1402078,누읍동,초평동
82,어린이집,행복아이 어린이집,Y,1,6,127.053947,37.1394614,누읍동,초평동
83,어린이집,시립푸른숲 어린이집,N,0,13,127.0767023,37.127317,갈곶동,대원동
84,어린이집,아이펀 어린이집,Y,1,6,127.0497901,37.1401373,누읍동,초평동
85,어린이집,시립생명숲어린이집,Y,1,6,127.0489504,37.17234844,금암동,신장동
86,어린이집,자람터어린이집,Y,1,12,127.0619238,37.1596413,궐동,남촌동
87,어린이집,시립세마어린이집,Y,1,12,127.0449164,37.1846082,세교동,세마동
88,어린이집,미래숲어린이집,Y,1,6,127.044384,37.1453259,서동,초평동
89,어린이집,시립은여울어린이집,N,0,20,127.0668603,37.1709522,수청동,신장동
90,어린이집,설리반어린이집,N,0,5,127.061041,37.1641268,수청동,신장동
91,어린이집,세교복지타운어린이집,Y,1,15,127.044835,37.17775181,금암동,신장동
